Locality,Latitude,Longitude
BENWERRIN,-38.411964,143.924288
DEANS MARSH,-38.411964,143.924288
PENNYROYAL,-38.411964,143.924288
ANGLESEA,-38.409363,144.176397
MAIN RIDGE,-38.407828,144.975131
BULLAHARRE,-38.407094,143.133721
COBDEN,-38.407094,143.133721
COBRICO,-38.407094,143.133721
ELINGAMITE,-38.407094,143.133721
ELINGAMITE NORTH,-38.407094,143.133721
GLENFYNE,-38.407094,143.133721
JANCOURT,-38.407094,143.133721
JANCOURT EAST,-38.407094,143.133721
NAROGHID,-38.407094,143.133721
SIMPSON,-38.407094,143.133721
WOOREEN,-38.40506851,146.0204631
BAROMI,-38.40304542,146.1775109
RYE,-38.396077,144.827203
ST ANDREWS BEACH,-38.396077,144.827203
TOOTGAROOK,-38.396077,144.827203
CARRAJUNG LOWER,-38.39234478,146.7391131
ALLANSFORD,-38.389835,142.660221
MEPUNGA,-38.389835,142.660221
MEPUNGA EAST,-38.389835,142.660221
MEPUNGA WEST,-38.389835,142.660221
NARINGAL,-38.389835,142.660221
NARINGAL EAST,-38.389835,142.660221
MOUNT TASSIE,-38.38862898,146.5618972
ALVIE,-38.388291,143.557159
BALINTORE,-38.388291,143.557159
BARONGAROOK,-38.388291,143.557159
BARONGAROOK WEST,-38.388291,143.557159
BARRAMUNGA,-38.388291,143.557159
CORAGULAC,-38.388291,143.557159
CORUNNUN,-38.388291,143.557159
DREEITE,-38.388291,143.557159
DREEITE SOUTH,-38.388291,143.557159
IRREWARRA,-38.388291,143.557159
IRREWILLIPE,-38.388291,143.557159
IRREWILLIPE EAST,-38.388291,143.557159
KAWARREN,-38.388291,143.557159
LARPENT,-38.388291,143.557159
NALANGIL,-38.388291,143.557159
ONDIT,-38.388291,143.557159
PIRRON YALLOCK,-38.388291,143.557159
POMBORNEIT EAST,-38.388291,143.557159
SWAN MARSH,-38.388291,143.557159
TANYBRYN,-38.388291,143.557159
WARRION,-38.388291,143.557159
WOOL WOOL,-38.388291,143.557159
YEO,-38.388291,143.557159
YEODENE,-38.388291,143.557159
FLINDERS NAVAL DEPOT,-38.38752,145.19304
HMAS CERBERUS,-38.38752,145.19304
GIFFARD,-38.38411874,147.099754
SOMERS,-38.383368,145.153269
ROSEBUD WEST,-38.383367,144.873115
BELLVIEW,-38.381582,145.697053
JEETHO,-38.381582,145.697053
KROWERA,-38.381582,145.697053
LOCH,-38.381582,145.697053
WOODLEIGH,-38.381582,145.697053
CARRAJUNG SOUTH,-38.38123128,146.7999955
CALLIGNEE SOUTH,-38.38048482,146.6035417
DENNINGTON,-38.37884,142.482889
MINJAH,-38.37884,142.482889
WARRNAMBOOL,-38.37884,142.482889
WARRNAMBOOL EAST,-38.37884,142.482889
WARRNAMBOOL WEST,-38.37884,142.482889
RED HILL,-38.373694,145.01994
RED HILL SOUTH,-38.373694,145.01994
CAPEL SOUND,-38.37363083,144.8754149
BLAIRGOWRIE,-38.367874,144.768301
MELBOURNE,-38.365017,144.76592
MELBOURNE,-38.365017,144.76592
JUMBUK,-38.364689,146.359836
YINNAR,-38.364689,146.359836
YINNAR SOUTH,-38.364689,146.359836
BARWON DOWNS,-38.364034,143.82588
GERANGAMETE,-38.364034,143.82588
MURROON,-38.364034,143.82588
WARNCOORT,-38.364034,143.82588
WHOOREL,-38.364034,143.82588
BALNARRING,-38.355231,145.094502
BALNARRING BEACH,-38.355231,145.094502
MERRICKS BEACH,-38.355231,145.094502
MERRICKS NORTH,-38.355231,145.094502
MCCRAE,-38.354321,144.931834
CRIB POINT,-38.352327,145.199777
BIRREGURRA,-38.346704,143.740326
SORRENTO,-38.345527,144.739101
BITTERN,-38.339871,145.155546
ARTHURS SEAT,-38.326447,145.007626
DROMANA,-38.326447,145.007626
SAFETY BEACH,-38.326447,145.007626
WILLUNG SOUTH,-38.32561417,146.8251888
PORTSEA,-38.321871,144.692708
BLACKWARRY,-38.316869,146.607101
CALLIGNEE,-38.316869,146.607101
CALLIGNEE NORTH,-38.316869,146.607101
CARRAJUNG,-38.316869,146.607101
FLYNN,-38.316869,146.607101
FLYNNS CREEK,-38.316869,146.607101
KOORNALLA,-38.316869,146.607101
LOY YANG,-38.316869,146.607101
TRARALGON,-38.316869,146.607101
TRARALGON EAST,-38.316869,146.607101
TRARALGON SOUTH,-38.316869,146.607101
TYERS,-38.316869,146.607101
WILLUNG SOUTH,-38.316869,146.607101
CHURCHILL,-38.315452,146.414358
MOUNTAIN VIEW,-38.313447,145.811863
POOWONG,-38.313447,145.811863
POOWONG EAST,-38.313447,145.811863
POOWONG NORTH,-38.313447,145.811863
CROSSLEY,-38.313434,142.328761
KILLARNEY,-38.313434,142.328761
KIRKSTALL,-38.313434,142.328761
SOUTHERN CROSS,-38.313434,142.328761
TARRONE,-38.313434,142.328761
TOWER HILL,-38.313434,142.328761
WARRONG,-38.313434,142.328761
WILLATOOK,-38.313434,142.328761
YANGERY,-38.313434,142.328761
YARPTURK,-38.313434,142.328761
ADAMS ESTATE,-38.312647,145.563979
CALDERMEADE,-38.312647,145.563979
CORINELLA,-38.312647,145.563979
CORONET BAY,-38.312647,145.563979
GRANTVILLE,-38.312647,145.563979
JAM JERRUP,-38.312647,145.563979
LANG LANG,-38.312647,145.563979
